idstd,id,COVb0,COVb1a,COVb1b,COVb2a,COVb2b,COVb2c,COVb3a,COVb4,COVc3,COVc1,COVc2a,COVc2b,COVc2c,COVc4a,COVc4b,COVc4c,COVc5,COVc6,COVd1,COVd3a,COVd3b,COVd4,COVd6,COVd8,COVe1a,COVe1b,COVe1c,COVe2,COVe3a,COVe3b,COVe3c,COVe4,COVe5,COVf1,COVf2a,COVf2b,COVf2c,COVf2d,COVf2e,COVf2f,COVf2fx,COVg2,COVh1,COVh2a,COVh2b,COVh2c,COVh2d,COVh2e,COVh2f
656112,127,Open,Yes,4,Decrease,,25,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,25,5,22,Decrease,Remain the same,1,1,1,Decrease,Remain the same,Decrease,None of the above,No,No,No,No,No,No,,,,,,,,3,,,,,,,
656113,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656114,1206,Open,No,,Remain the same,,,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,No,0,0,106,Remain the same,Remain the same,,,Does not apply,Remain the same,Increase,Remain the same,,No,No,No,Does not apply,No,"No, but expect to receive them in the next 3 months",No,Yes,No,No,No,No,,Don't know,,,,,,,
656115,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656116,66,Open,No,,Decrease,,30,100,Does not apply,Yes,50,Decrease,Decrease,Decrease,Yes,Yes,Yes,50,25,4,Decrease,Don't know,1,1,Does not apply,Decrease,Remain the same,Increase,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,No,,,,,,,,5,,,,,,,
656117,1024,Open,No,,Increase,20,,100,Does not apply,Yes,,Increase,Increase,Increase,Yes,Yes,Yes,50,Don't know,100,Increase,Increase,,,0,Increase,Increase,Increase,,No,No,No,No,No,"No, but expect to receive them in the next 3 months",No,No,No,Yes,No,No,,4,,,,,,,
656118,807,Open,No,,Remain the same,,,100,Don't know,No,100,Remain the same,Remain the same,Decrease,No,No,No,0,0,150,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,10,,,,,,,
656119,473,Open,Yes,6,Decrease,,50,100,Does not apply,No,80,Decrease,Decrease,Remain the same,No,No,Yes,0,0,5,Decrease,Decrease,0,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656120,1284,Open,Yes,4,Decrease,,30,100,Does not apply,No,,Decrease,Remain the same,Remain the same,No,No,Yes,0,0,70,Decrease,Remain the same,10,Don't know,Don't know,Decrease,Decrease,Increase,Delaying payments to suppliers or workers,Yes,No,No,No,No,Don't know,,,,,,,,Don't know,,,,,,,
656121,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656122,1266,Open,Yes,10,Decrease,,90,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,60,20,5,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Don't know,,,,,,,
656123,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656124,462,Open,Yes,5,Decrease,,75,100,Does not apply,No,,Decrease,Decrease,Decrease,Yes,Yes,Yes,30,100,4,Decrease,Decrease,0,1,Does not apply,Decrease,Decrease,Don't know,None of the above,No,No,No,Don't know,Don't know,No,,,,,,,,4,,,,,,,
656125,241,Open,Yes,2,Decrease,,10,100,Does not apply,No,,Remain the same,Decrease,Remain the same,No,No,No,5,10,12,Remain the same,Remain the same,,,Don't know,Remain the same,Don't know,Remain the same,,No,No,No,No,No,No,,,,,,,,3,,,,,,,
656126,261,Open,Yes,3,Remain the same,,,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,No,Yes,Yes,20,50,180,Decrease,Decrease,20,10,Does not apply,Decrease,Increase,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656127,933,Open,No,,Decrease,,10,100,Does not apply,No,,Remain the same,Decrease,Remain the same,No,No,No,0,0,5,Remain the same,Remain the same,,,0,Decrease,Remain the same,Increase,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656128,1023,Open,No,,Decrease,,20,100,Does not apply,No,,Remain the same,Decrease,Remain the same,No,No,Yes,60,25,110,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,1,,,,,,,
656129,217,Open,Yes,1,Decrease,,10,100,Does not apply,Yes,,Remain the same,Decrease,Remain the same,No,No,Yes,30,20,5,Remain the same,Decrease,0,0,Does not apply,Remain the same,Don't know,Don't know,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656130,680,Open,No,,Remain the same,,,100,Does not apply,No,,Remain the same,Remain the same,Remain the same,No,No,Yes,30,100,30,Remain the same,Remain the same,,,Don't know,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656131,875,Open,Yes,4,Decrease,,10,100,Does not apply,Yes,,Decrease,Decrease,Remain the same,Yes,No,Yes,30,20,20,Remain the same,Remain the same,,,0,Decrease,Remain the same,Remain the same,None of the above,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,,4,,,,,,,
656132,799,Open,Yes,4,Decrease,,40,80,Decrease,Yes,,Decrease,Decrease,Decrease,Yes,No,No,80,70,7,Decrease,Remain the same,1,0,4,Decrease,Decrease,Decrease,Delaying payments to suppliers or workers,Yes,Yes,Yes,Yes,No,"No, but expect to receive them in the next 3 months",No,Yes,Yes,Yes,Yes,No,,8,,,,,,,
656133,524,Open,Yes,3,Decrease,,30,100,Does not apply,No,75,Decrease,Decrease,Decrease,Yes,Yes,Yes,35,25,220,Decrease,Remain the same,4,6,6,Decrease,Decrease,Remain the same,None of the above,Yes,No,No,Does not apply,No,No,,,,,,,,5,,,,,,,
656134,1193,Open,Yes,8,Decrease,,30,100,Does not apply,Yes,Don't know,Decrease,Decrease,Decrease,Yes,Yes,Yes,25,20,15,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,Does not apply,No,"No, but expect to receive them in the next 3 months",No,No,No,Yes,No,No,,4,,,,,,,
656135,871,Open,Yes,8,Decrease,,60,100,Does not apply,Yes,30,Decrease,Decrease,Decrease,Yes,Yes,Yes,20,Don't know,15,Decrease,Remain the same,Don't know,Don't know,Don't know,Decrease,Decrease,Decrease,Loans from commercial banks,Yes,Yes,Don't know,Don't know,No,"No, but expect to receive them in the next 3 months",No,Yes,Yes,No,No,No,,8,,,,,,,
656136,497,Open,Yes,6,Decrease,,50,100,Does not apply,Yes,40,Decrease,Decrease,Decrease,Yes,Yes,No,25,30,6,Decrease,Decrease,2,0,3,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,Yes,Yes,Yes,No,"No, but expect to receive them in the next 3 months",No,Yes,Yes,Yes,Yes,No,,4,,,,,,,
656137,824,Open,Yes,8,Decrease,,55,100,Does not apply,Yes,40,Decrease,Decrease,Decrease,No,Yes,No,15,Don't know,20,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Don't know,No,No,No,Don't know,No,No,,,,,,,,3,,,,,,,
656138,1029,Open,Yes,3,Decrease,,25,100,Does not apply,No,80,Decrease,Decrease,Decrease,Yes,Yes,Yes,35,30,85,Decrease,Remain the same,2,5,1,Decrease,Increase,Increase,None of the above,Yes,No,No,No,No,No,,,,,,,,6,,,,,,,
656139,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656140,1215,Open,Yes,Don't know,Remain the same,,,100,Does not apply,No,85,Remain the same,Decrease,Remain the same,No,Yes,Yes,10,10,260,Decrease,Decrease,10,5,40,Decrease,Remain the same,Remain the same,Loans from commercial banks,No,Yes,Yes,No,No,No,,,,,,,,3,,,,,,,
656141,509,Open,Yes,2,Decrease,,15,80,Decrease,No,80,Remain the same,Decrease,Remain the same,Yes,Yes,Yes,35,50,125,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656142,534,Open,Yes,4,Decrease,,30,100,Don't know,No,,Decrease,Decrease,Remain the same,No,No,Yes,10,50,6,Remain the same,Decrease,3,0,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
656143,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656144,290,Open,Yes,4,Remain the same,,,100,Does not apply,No,,Remain the same,Remain the same,Decrease,No,Yes,No,0,0,25,Decrease,Decrease,10,0,20,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,"No, but expect to receive them in the next 3 months",No,No,No,Yes,No,No,,10,,,,,,,
656145,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656146,25,Open,Yes,9,Decrease,,60,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,40,0,5,Remain the same,Remain the same,,,3,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,,3,,,,,,,
656147,3,Open,Yes,6,Decrease,,40,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,Yes,Yes,Yes,20,0,8,Remain the same,Don't know,,,1,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656148,788,Open,Yes,7,Decrease,,15,100,Does not apply,Yes,,Increase,Remain the same,Decrease,Yes,Yes,Yes,60,70,10,Decrease,Decrease,2,0,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,Yes,"No, but expect to receive them in the next 3 months",Yes,No,Yes,Yes,No,No,,Don't know,,,,,,,
656149,1080,Open,Yes,9,Decrease,,30,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,Yes,Yes,Yes,60,0,165,Decrease,Decrease,0,30,40,Decrease,Remain the same,Increase,Delaying payments to suppliers or workers,Yes,Yes,Yes,Yes,No,"No, but expect to receive them in the next 3 months",Don't know,Don't know,Don't know,Don't know,Don't know,No,,Don't know,,,,,,,
656150,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656151,418,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Decrease,Don't know,Yes,No,Yes,20,70,20,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Don't know,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656152,338,Open,No,,Decrease,,Don't know (spontaneous),100,Does not apply,Yes,,Decrease,Decrease,Remain the same,No,Yes,Yes,40,25,4,Decrease,Decrease,0,0,4,Decrease,Decrease,Decrease,Equity finance,No,Yes,Yes,Yes,No,"No, but expect to receive them in the next 3 months",No,Yes,No,Yes,No,No,,8,,,,,,,
656153,1054,Open,Yes,8,Decrease,,70,100,Does not apply,Yes,30,Decrease,Decrease,Don't know,Yes,Yes,Yes,5,0,6,Remain the same,Remain the same,,,2,Decrease,Remain the same,Decrease,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
