idstd,panelid,year,b1,b2c,b3,b5,b8,c22b,d12a,d1a1x,d1a3,d2,d3a,f1,f2,g5a,g5b,g5bx,g6a,h1,k1c,k2c,k4,k5a,k5f,k5i,k6,k7,k8,l1,l11a,l11b,l6,l8,n2a,n2b,n2e,n2f,n2i,n3,n5a,n5b,n7a,a17,_2012_2019_BMd1a,_2012_2019_BMd1b,_2012_2019_e2b,_2012_2019_h5,_2012_2019_BMh1,_2012_2019_BMh2,_2012_2019_BMh3,_2012_2019_h9,_2012_2019_g1a,_2012_2019_k3a,_2012_2019_k3bc,_2012_2019_k3e,_2012_2019_k3f,_2012_2019_BMk3hd,_2012_2019_k5bc,_2012_2019_k5e,_2012_2019_BMk5hdj,_2019_d1a1a,_2019_h8,_2019_BMk3a,_2019_BMk3b,_2019_k5a1,_2019_k5bc1,_2019_k5i1,_2019_k5e1,_2019_k5f1,_2019_BMk5a,_2019_BMk5a1,_2019_BMk5b,_2019_BMk5b1,_2019_BMk5hdj1,_2019_BMl1a,_2019_l11a1,_2019_l11b1,_2019_n2p
656078,446484,2019,Shareholding company with non-traded shares or shares traded privately,0,65,2001,No,Yes,95,Manufacture Of Building Metal Structures,100,488000000,100,95,40,,,,100,Yes,Don't know (spontaneous),Don't know (spontaneous),Yes,100,0,0,Yes,No,No,147,,,No full-time seasonal or temporary workers,,74400000,5400000,384000000,3600000,,422000000,3000000,0,120000000,Are taken directly from establishment records,Increase,5,Too many to count,No,No,No,No,,100,100,0,0,0,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,10,No employees trained,7,470000000
656133,446485,2019,Shareholding company with shares traded on the stock market,0,75,2000,Yes,Yes,70,Wallpaper Production,98,590000000,100,95,48,,,,100,No,30,30,No,,,,Yes,Yes,Yes,245,30,45,No full-time seasonal or temporary workers,,100000000,250000,85000000,350000,,500000000,,,90000000,Are estimates computed with some precision,Increase,8,8,No,No,No,No,,0,60,10,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,25,,,85000000
656166,446500,2019,Shareholding company with non-traded shares or shares traded privately,0,91,2002,No,Yes,80,Manufacture Of Machinery And Equipment For Mining And Construction,60,35000000,90,60,50,,,,0,No,80,10,No,,,,Yes,No,Yes,20,,,No full-time seasonal or temporary workers,,13000000,1000000,16000000,1000000,,32000000,,,3000000,Are estimates computed with some precision,Decrease,10,15,No,No,No,No,,0,50,0,0,50,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,Don't know (spontaneous),,,32000000
656268,446539,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2014,No,Yes,100,"Production Of Chemical Products (Reagents, Acids)",70,28000000,100,80,40,,,,100,No,0,10,No,,,,Yes,No,No,22,,,No full-time seasonal or temporary workers,,11800000,700000,7500000,Don't know (spontaneous),,26000000,,,6000000,Are estimates computed with some precision,Increase,15,2,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,70,,,21000000
656265,446544,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1992,No,Yes,40,Retail Sale Of Baby Goods,70,11000000,100,,,120,Square Meters,,100,No,10,0,No,,,,Yes,No,No,23,,,No full-time seasonal or temporary workers,,6700000,137000,,Don't know (spontaneous),4000000,13800000,,,,Are estimates computed with some precision,Decrease,20,5,No,No,No,No,,100,100,0,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,60,,,
656317,446603,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2010,No,No,30,Production Of Various Equipment For The Defense Industry,100,38000000,100,100,50,,,,100,No,0,0,No,,,,Yes,No,No,12,,,No full-time seasonal or temporary workers,,5800000,Don't know (spontaneous),7000000,Don't know (spontaneous),,36000000,,,Don't know (spontaneous),Are in some case taken from books and in some case estimates,Increase,Don't know (spontaneous),Too many to count,No,Yes,Yes,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Manufacturing of ,No,0,0,,,,,,,,,,,50,,,Don't know (spontaneous)
656310,446605,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,Yes,60,"Manufacture Of Wooden Building Constructions, Joinery",80,140000000,100,75,84,,,,60,No,20,0,No,,,,Yes,No,No,11,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,327000000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,Don't know (spontaneous),Too many to count,No,No,No,No,,100,70,10,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,30,,,Don't know (spontaneous)
656344,446609,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2017,No,No,Don't know (spontaneous),Provision Of Services For The Carriage Of Goods By Sea,100,Don't know (spontaneous),100,,,,,,0,No,0,0,No,,,,Yes,Yes,Yes,68,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),,Establishment was not in business in Fiscal Year,,,,Are estimates computed with some precision,Stay the same,,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),60,40,0,0,0,,,,Provide services of,,0,0,,,,,,,,,,,40,,,
656428,446626,2019,Shareholding company with non-traded shares or shares traded privately,0,70,2017,No,No,50,Manufacture Of Hydraulic And Pneumatic Equipment,80,50000000,100,90,40,,,,0,No,0,0,No,,,,Yes,No,No,100,,,No full-time seasonal or temporary workers,,37000000,180000,4000000,210000,,Establishment was not in business in Fiscal Year,,,10000000,Are estimates computed with some precision,Increase,20,3,No,No,No,No,,0,70,30,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,42000000
656141,446641,2019,Shareholding company with non-traded shares or shares traded privately,0,24,1993,Yes,Yes,60,"Production Of Gas Generators, Apparatuses For Distillation, Filtration Or Purification Of Liquids And Gases",97,450000000,50,80,60,,,,30,Yes,65,50,Yes,40,15,20,Yes,Yes,Yes,124,,,11,6,400000000,5000000,1500000000,3000000,,320000000,400000,0,500000000,Are estimates computed with some precision,Increase,15,10,No,Yes,Yes,No,5000000,30,30,5,0,40,10,5,0,10,Manufacturing of ,Yes,5,10,,,,,,0,,10,,,66,,,2500000000
656061,446676,2019,Shareholding company with shares traded on the stock market,0,100,1993,No,Yes,90,"Production Of Reinforced Concrete Structures (Blocks, Slabs, Piles, Beams)",80,55000000,100,85,60,,,,100,No,50,40,No,,,,Yes,Yes,Yes,111,,,3,3,14000000,1000000,19000000,1500000,,40000000,,,118000000,Are estimates computed with some precision,Stay the same,,Too many to count,No,No,No,Yes,2000000,100,40,10,0,40,10,,,,Manufacturing of ,Yes,0,0,,,,,,,,,,,70,,,43000000
656149,446728,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1997,No,Yes,80,"Retail Sale Of Building Materials: Primer, Concrete Contact, Sand Concrete, Cement, Expanded Clay, Crushed Stone, Brick, Foam Block, Metal Structures, Varnishes, Paints, Etc.",60,319200000,100,,,500,Square Meters,,100,No,30,40,Yes,100,0,0,Yes,Don't know (spontaneous),No,165,,,No full-time seasonal or temporary workers,,69600000,660000,,2160000,210000000,300000000,500000,600000,,Are in some case taken from books and in some case estimates,Increase,15,Too many to count,No,No,No,No,,100,90,0,0,10,0,0,0,0,Retail trade of,,0,0,,,,,,0,,0,,,Don't know (spontaneous),,,
656138,446737,2019,Shareholding company with shares traded on the stock market,0,100,1994,No,Yes,100,Production Of Other Plastic Products,98,416000000,100,95,48,,,,100,No,25,30,No,,,,Yes,Yes,Yes,93,,,No full-time seasonal or temporary workers,,70000000,150000,2500000,220000,,380000000,,,45000000,Are estimates computed with some precision,Increase,8,8,No,No,No,No,,0,55,20,0,25,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,25,,,25000000
656183,446825,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2005,No,Yes,100,"Production Of Plastic Bottles For Cosmetics, Bottles With Dispenser.",70,20000000,100,90,40,,,,0,No,0,0,No,,,,Yes,No,No,11,,,No full-time seasonal or temporary workers,,4600000,1600000,3000000,Don't know (spontaneous),,21800000,,,5000000,Are estimates computed with some precision,Stay the same,,6,No,No,No,No,,0,70,0,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,15000000
656182,446826,2019,Shareholding company with non-traded shares or shares traded privately,0,92,2003,No,Yes,100,Furniture Manufacture,95,73000000,100,85,50,,,,0,No,15,10,Yes,70,0,0,Yes,No,No,61,,,No full-time seasonal or temporary workers,,36600000,50000,20000000,Don't know (spontaneous),,69000000,670000,0,14000000,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),80,10,0,10,0,30,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,65,,,56650000
656105,446897,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2000,No,Yes,95,"Production Of Industrial, Technical Chemicals, Fertilizers And Agrochemicals",100,130000000,100,60,40,,,,0,No,60,40,No,,,,Yes,Yes,No,105,,,No full-time seasonal or temporary workers,,55000000,2000000,60000000,0,,115000000,,,15000000,Are estimates computed with some precision,Increase,10,Too many to count,No,No,No,No,,0,40,0,0,60,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,120000000
656134,446927,2019,Shareholding company with non-traded shares or shares traded privately,0,97,2003,No,No,70,Production Of Clothing For Concert Performances,85,5500000,100,60,60,,,,0,No,30,10,No,,,,Yes,No,Yes,8,,,No full-time seasonal or temporary workers,,2500000,500000,2000000,0,,3500000,,,1500000,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,0,85,5,0,10,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,,,,5000000
656081,446972,2019,Shareholding company with non-traded shares or shares traded privately,0,52,2005,No,Yes,95,Production Of Dairy Products,100,370000000,100,90,40,,,,100,Yes,0,100,Yes,100,0,0,Yes,Don't know (spontaneous),No,167,,,No full-time seasonal or temporary workers,,115000000,11000000,190000000,14000000,,Don't know (spontaneous),7000000,0,200000000,Are in some case taken from books and in some case estimates,Increase,10,Too many to count,Yes,Yes,Yes,No,1000000,100,100,0,0,0,0,0,0,0,Manufacturing of ,Yes,0,0,,,,,,0,,0,,,Don't know (spontaneous),No employees trained,7,350000000
656051,514221,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2007,No,No,98,Manufacture Of Finished Building Metal Products And Structures,90,9000000,100,80,60,,,,0,No,10,10,No,,,,Yes,No,Yes,5,,,No full-time seasonal or temporary workers,,4000000,500000,3500000,400000,,9000000,,,2000000,Are estimates computed with some precision,Increase,10,Too many to count,No,No,No,No,,0,95,0,0,5,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,100,,,7700000
656052,514228,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,No,95,Manufacture Of Pumps And Compressors,80,525000000,100,60,60,,,,0,No,10,30,No,,,,Yes,No,Yes,107,,,2,12,150000000,1000000,250000000,1000000,,649000000,,,150000000,Are estimates computed with some precision,Stay the same,,10,No,No,No,No,,0,95,0,0,5,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,410000000
656053,514233,2019,Shareholding company with non-traded shares or shares traded privately,0,20,2005,No,No,80,"Production Of Aluminum And Copper Wires, Power Cables",100,121200000,100,85,40,,,,100,No,0,80,No,,,,Yes,No,No,29,,,No full-time seasonal or temporary workers,,18000000,1800000,78000000,1200000,,118000000,,,90000000,Are in some case taken from books and in some case estimates,Increase,5,Too many to count,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,,,,100000000
656054,514249,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2015,No,Yes,65,Construction Of Residential And Non-Residential Buildings,80,25000000,100,,,,,,0,No,0,0,Yes,100,0,0,Yes,No,No,12,,,5,5,8000000,370000,,650000,,18000000,430000,0,,Are in some case taken from books and in some case estimates,Increase,15,Too many to count,No,No,No,No,,0,80,0,0,0,20,0,0,0,Construction of,,0,0,,,,,,0,,0,,,20,,,
656055,514255,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,No,100,Wholesale Of Office Furniture,80,15000000,100,,,,,,0,No,15,10,No,,,,Yes,No,No,5,,,No full-time seasonal or temporary workers,,2000000,500000,,500000,,13000000,,,,Are estimates computed with some precision,Stay the same,,Too many to count,No,No,No,No,,0,95,0,0,5,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,100,,,
656056,514289,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1999,No,Yes,70,Wholesale Trade Of Industrial Electrical Equipment,100,765000000,100,,,,,,0,No,30,20,No,,,,Yes,Yes,No,90,,,No full-time seasonal or temporary workers,,90000000,800000,,Don't know (spontaneous),,Don't know (spontaneous),,,,Are estimates computed with some precision,Don't know (spontaneous),,Too many to count,No,No,No,No,,0,100,0,0,0,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,70,,,
656057,514302,2019,Shareholding company with non-traded shares or shares traded privately,25,75,2002,No,Yes,100,Hotel Activity,90,9000000,100,,,,,,0,No,13,1,Yes,100,0,0,Yes,No,No,21,,,21,3,5000000,500000,,300000,,7500000,5000000,0,,Are estimates computed with some precision,Increase,5,Too many to count,No,No,Yes,Yes,,0,95,0,0,5,0,0,0,0,Hotel or restaurant,No,0,0,,,,,,0,,0,,,,,,
656058,514325,2019,Shareholding company with non-traded shares or shares traded privately,0,58,1994,No,No,40,"Retail Trade In Spare Parts And Components For Washing Machines, Refrigerators, Vacuum Cleaners, Other Household Appliances.",50,33600000,100,,,40,Square Meters,,100,No,40,10,No,,,,Yes,Don't know (spontaneous),No,13,,,No full-time seasonal or temporary workers,,5600000,78000,,288000,18000000,30000000,,,,Are in some case taken from books and in some case estimates,Increase,5,3,No,No,No,No,,Does not apply is a floor in a building (spontaneous),60,0,0,40,0,,,,Retail trade of,,0,0,,,,,,,,,,,,,,
656059,514334,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2005,Yes,Yes,90,"The Company Manufactures Various Rubber Products: Car Wheel Arch Extensions, Profiles For Modular Mud Cleaning Carpets, Translucent Seals For Greenhouses, Swimming Pools, Anti-Slip Foot Pads, Seals For Air Ducts Of Fan Systems, Seals For Gates ",100,210000000,100,90,40,,,,100,Yes,50,80,Yes,90,0,0,Yes,No,Yes,115,50,50,No full-time seasonal or temporary workers,,63000000,7000000,120000000,1500000,,200000000,2000000,500000,100000000,Are estimates computed with some precision,Stay the same,,Don't know (spontaneous),No,Yes,No,No,,100,40,10,0,50,0,10,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,,,,195000000
656060,514338,2019,Shareholding company with non-traded shares or shares traded privately,0,34,2004,No,Yes,100,Production Of Ready-Mixed Concrete,80,510000000,100,80,40,,,,100,No,40,40,No,,,,Yes,Yes,Yes,98,,,5,6,64000000,3000000,300000000,11000000,,440000000,,,105000000,Are estimates computed with some precision,Increase,10,Too many to count,No,No,Yes,No,1000000,100,25,40,0,20,15,,,,Manufacturing of ,Yes,0,0,,,,,,,,,,,65,,,480000000
656062,514341,2019,Shareholding company with non-traded shares or shares traded privately,0,80,1997,No,Yes,40,Retail Sale Of Office Machines,90,365000000,100,,,58,Square Meters,,100,No,35,15,No,,,,Yes,Yes,Yes,20,,,No full-time seasonal or temporary workers,,130000000,470000,,Don't know (spontaneous),200000000,360000000,,,,Are estimates computed with some precision,Increase,Don't know (spontaneous),4,No,No,No,No,,Does not apply is a floor in a building (spontaneous),40,20,0,0,40,,,,Retail trade of,,0,0,,,,,,,,,,,70,,,
656063,514343,2019,Shareholding company with non-traded shares or shares traded privately,0,40,2000,No,Yes,90,"Production Of Parts From Rolled Non-Ferrous And Ferrous Metals And Alloys. For Example, Flanges, Clamps And Other Products For Industrial Use.",100,70000000,100,85,40,,,,0,No,30,60,Yes,50,0,0,Yes,No,Yes,50,,,No full-time seasonal or temporary workers,,21500000,2600000,30000000,1200000,,65000000,2000000,0,15000000,Are in some case taken from books and in some case estimates,Increase,10,10,No,Yes,No,No,,0,65,15,0,20,0,50,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,20,,,56000000
656064,514344,2019,Shareholding company with non-traded shares or shares traded privately,0,90,2000,No,No,98,"Manufacturing Of Vertical Steel Tanks, Horizontal, Horizontal Underground, Heated Tanks.",100,52200000,100,100,48,,,,90,Yes,Don't know (spontaneous),20,No,,,,Yes,No,No,23,,,No full-time seasonal or temporary workers,,10200000,420000,38400000,450000,,65000000,,,4000000,Are in some case taken from books and in some case estimates,Don't know (spontaneous),,1,No,No,No,No,,Does not apply is a floor in a building (spontaneous),80,0,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,Don't know (spontaneous),,,50000000
656065,514352,2019,Shareholding company with shares traded on the stock market,40,60,2002,No,Yes,90,"Production Of Rail Boring, Rail Cutting And Scarfing Machine",80,1200000000,90,85,60,,,,100,No,10,25,No,,,,Yes,No,No,151,,,No full-time seasonal or temporary workers,,150000000,1000000,700000000,2000000,,1000000000,,,250000000,Are estimates computed with some precision,Decrease,10,Too many to count,No,No,No,No,,100,60,0,20,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,Don't know (spontaneous),,,855000000
656066,514359,2019,Shareholding company with non-traded shares or shares traded privately,0,45,2004,No,Yes,70,Production Of Aluminum Composite Panels And Steel Composite Panels,90,1800000000,70,85,50,,,,60,No,20,55,No,,,,Yes,Yes,Yes,102,,,5,6,65000000,18000000,1200000000,1000000,,1500000000,,,6000000,Are estimates computed with some precision,Increase,15,Too many to count,No,No,No,No,,100,30,20,0,20,30,,,,Manufacturing of ,,0,0,,,,,,,,,,,70,,,1600000000
656067,514375,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,No,60,"Retail Trade In Food And Consumer Goods, Non-Food Goods",80,80000000,100,,,128,Square Meters,,100,No,20,15,Yes,0,0,100,Yes,Yes,Yes,16,,,2,3,11000000,12000,,80000,8000000,74000000,Don't know (spontaneous),0,,Are estimates computed with some precision,Stay the same,,Don't know (spontaneous),No,No,No,No,,Does not apply is a floor in a building (spontaneous),25,30,0,45,0,0,0,0,Retail trade of,,0,0,,,,,,0,,0,,,10,,,
656068,514384,2019,Shareholding company with non-traded shares or shares traded privately,0,70,2002,No,No,100,Sword Production,100,5500000,100,50,45,,,,0,No,Don't know (spontaneous),Don't know (spontaneous),No,,,,Yes,Yes,Yes,5,,,No full-time seasonal or temporary workers,,2000000,300000,3000000,100000,,5200000,,,4000000,Are estimates computed with some precision,Decrease,10,Don't know (spontaneous),No,No,No,No,,0,80,20,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,No one has a university degree,,,Don't know (spontaneous)
656069,514387,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1993,No,No,70,"Retail Sale Of Gas Heating Boilers, Plumbing Systems, Electric Water Heating Boilers, Related Equipment: Pumps, Hoses, Valves, Etc.",90,27600000,100,,,40,Square Meters,,0,No,50,50,Yes,100,0,0,Yes,Don't know (spontaneous),Yes,10,,,No full-time seasonal or temporary workers,,4200000,66000,,900000,19200000,25000000,50000,0,,Are in some case taken from books and in some case estimates,Stay the same,,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),50,20,0,30,0,0,0,0,Retail trade of,,0,0,,,,,,0,,0,,,Don't know (spontaneous),,,
656070,514409,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,Yes,50,"Wholesale Trade In Roofing Materials: Tile, Metal Tile, Flexible Tile, Professional Flooring",90,58000000,100,,,,,,0,No,10,10,No,,,,Yes,No,No,22,,,No full-time seasonal or temporary workers,,22000000,1000000,,2000000,,44000000,,,,Are estimates computed with some precision,Increase,15,Don't know (spontaneous),No,No,No,No,,0,95,0,0,5,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,,,,
656071,514410,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2005,No,Yes,100,"Retail Trade In Kitchen Furniture, Accessories, Textiles, Kitchenware",40,Don't know (spontaneous),100,,,Don't know (spontaneous),,,0,No,100,80,Yes,100,0,0,Yes,No,No,221,,,No full-time seasonal or temporary workers,,93000000,1800000,,6500000,Don't know (spontaneous),Don't know (spontaneous),1500000,0,,Are in some case taken from books and in some case estimates,Increase,5,1,No,Yes,No,No,,Does not apply is a floor in a building (spontaneous),0,0,0,100,0,0,0,0,Retail trade of,,0,0,,,,,,0,,0,,,Don't know (spontaneous),,,
656072,514413,2019,Shareholding company with non-traded shares or shares traded privately,0,60,2012,No,Yes,80,Retailing Of Pretty Pretties And Jewelry In A Specialized Store,100,13000000,100,,,110,Square Meters,,100,Yes,30,10,Yes,70,30,0,Yes,No,No,5,,,No full-time seasonal or temporary workers,,3000000,60000,,Don't know (spontaneous),7000000,13000000,300000,0,,Are in some case taken from books and in some case estimates,Increase,10,15,Yes,No,No,Yes,,Does not apply is a floor in a building (spontaneous),70,0,0,30,0,0,0,0,Retail trade of,No,0,0,,,,,,0,,0,,,,,,
656073,514423,2019,Shareholding company with non-traded shares or shares traded privately,0,50,1998,No,No,50,"Wholesale Of Food Products, Cigarettes: Drinks, Dry Products, Spices, Canned Foods, Etc.",100,120000000,100,,,,,,0,No,20,50,Yes,100,0,0,Yes,No,No,23,,,No full-time seasonal or temporary workers,,10000000,420000,,1100000,,110000000,150000,300000,,Are estimates computed with some precision,Increase,15,2,No,No,No,No,,0,100,0,0,0,0,0,0,0,Wholesale trade of,,0,0,,,,,,0,,0,,,Don't know (spontaneous),,,
